Word	[ (Document1, Count1), ... ]
14000	(10, 1) 
14000-tonne	(12, 1) (13, 1) 
141	(19, 1) (21, 1) 
1410	(20, 1) 
1427	(17, 1) 
143	(26, 1) 
144000	(21, 1) 
14496	(20, 1) 
146	(24, 1) 
1477–1806	(25, 1) 
148	(21, 1) 
149	(24, 1) 
1492347	(20, 1) 
14th	(24, 1) (23, 1) (21, 1) 
14–15	(10, 1) 
14–16	(19, 1) 
15	(19, 1) (20, 4) (29, 1) (22, 2) (30, 1) (2, 4) (26, 1) (10, 4) (21, 3) (5, 2) (8, 1) (17, 1) 
15%	(3, 1) 
150	(17, 1) (19, 2) (24, 1) (22, 1) (8, 1) (21, 1) (10, 1) (26, 1) (9, 1) 
150+	(19, 1) 
1500	(19, 1) (24, 1) 
15000	(13, 2) (20, 1) (17, 1) (21, 1) (22, 2) (12, 2) 
15000-pound	(14, 1) 
1500000	(2, 1) 
1500m	(29, 1) 
1500–200	(24, 1) 
1500–500	(24, 1) 
150th	(21, 2) 
151	(5, 1) 
1515	(21, 1) 
152	(19, 1) (27, 1) 
152%	(21, 1) 
152-foot	(22, 1) 
152050937kinvig	(19, 1) 
1524	(27, 1) 
153	(10, 1) 
154	(10, 1) 
1552	(20, 1) 
156	(10, 1) 
1565	(22, 1) 
1574884298==	(19, 1) 
1581	(25, 1) 
1583	(22, 1) 
1585	(25, 1) 
15th	(22, 1) (21, 1) 
15–20	(9, 1) 
16	(21, 2) (23, 3) (2, 4) (3, 1) (13, 3) (19, 4) (22, 3) (10, 3) (5, 1) (12, 3) (4, 1) 
16%	(26, 1) 
16/17	(10, 1) 
160	(10, 1) (9, 1) (30, 1) 
1600	(30, 1) (10, 1) (19, 1) (24, 1) 
16000	(21, 1) 
1600s	(25, 1) 
1600–1100	(24, 1) 
1604	(25, 1) 
160878	(20, 1) 
1609–52	(25, 1) 
1628	(25, 1) 
163%nationalin	(20, 1) 
163%other	(20, 1) 
1639	(25, 1) 
163–183roth	(20, 1) 
164000	(23, 1) 
1641–1672	(25, 1) 
1641—and	(25, 1) 
1642	(25, 1) 
1648	(25, 2) 
1649	(25, 1) 
165	(21, 1) 
1650	(25, 1) 
1650–1668	(25, 1) 
1650–74	(25, 1) 
1651	(25, 2) 
1652	(25, 2) 
1652–1654as	(25, 1) 
1652–1674	(25, 1) 
1652–74	(25, 1) 
1653	(25, 4) 
1654	(25, 1) 
1654–1763	(25, 1) 
1660	(25, 1) 
1665	(25, 1) 
1665–1667after	(25, 1) 
1666	(25, 1) (17, 1) 
1667	(25, 2) 
1672-1712	(25, 2) 
1672–1674soon	(25, 1) 
167th	(19, 1) 
167–168	(19, 1) 
168649	(21, 1) 
1688	(25, 1) (22, 1) 
168th	(19, 1) 
16900000	(23, 1) 
16th	(19, 1) (20, 1) (25, 1) (5, 1) 
16th-century	(25, 1) 
17	(19, 4) (23, 2) (22, 2) (2, 1) (15, 1) (5, 2) (17, 2) (27, 2) (20, 2) (10, 2) (21, 3) 
17-pounder	(30, 1) 
170	(24, 1) (19, 1) 
1700	(21, 1) 
17000	(21, 1) 
1703	(22, 1) 
1707	(25, 1) 
1710	(22, 1) 
172	(22, 1) 
1720	(25, 1) 
1723	(22, 1) 
1724	(22, 1) 
173rd	(10, 2) 
174	(21, 1) 
1741	(22, 1) 
1745	(22, 2) 
1747receptionin	(1, 1) 
1748	(22, 1) 
1758	(22, 2) 
1759	(22, 1) 
175–202other	(20, 1) 
176000	(15, 1) 
1762	(22, 2) 
177000	(21, 1) 
1776	(25, 1) (22, 1) 
178	(10, 1) 
1780	(25, 2) 
1780–1784the	(25, 1) 
1781	(25, 1) 
1781541	(17, 1) 
1782	(22, 1) 
1783	(22, 1) 
1784	(10, 1) 
1787	(21, 1) 
1790	(21, 1) 
1793–1815	(25, 1) 
1797	(25, 1) 
1798	(22, 1) 
1799	(25, 1) 
17th	(25, 3) (10, 6) (20, 1) 
18	(20, 1) (2, 4) (13, 3) (17, 1) (19, 6) (30, 1) (7, 1) (23, 5) (10, 2) (22, 1) (5, 1) (12, 3) (21, 3) (27, 6) 
18-month	(13, 1) (12, 1) 
18-pdr	(27, 1) 
18-pounder	(22, 1) 
180	(10, 1) 
1800	(24, 1) (21, 1) 
1800-strong	(19, 1) 
1803	(21, 1) 
1804	(21, 1) 
1806	(20, 1) 
1808	(21, 1) 
1810	(21, 1) (25, 2) 
1812	(21, 1) (22, 1) 
1813	(22, 1) 
1814	(25, 1) 
1816	(20, 1) (21, 1) (18, 1) 
183	(2, 1) (27, 1) 
1830s	(21, 1) 
1835	(17, 1) 
1836	(20, 1) 
1837–1903	(2, 1) 
184	(12, 1) (13, 1) 
1840	(21, 1) 
1840s	(21, 3) 
1842	(2, 1) 
1845	(21, 1) 
1846	(21, 2) 
1847	(22, 1) 
1848	(21, 2) 
1849	(3, 1) 
1850	(21, 3) 
1850s	(21, 4) 
1852	(21, 1) 
1852854774mawdsley	(19, 1) 
1853–1856	(22, 1) 
1854	(21, 2) 
1854during	(22, 1) 
1856	(10, 1) 
1856–1927	(17, 1) 
1857	(21, 3) 
1858	(21, 1) 
1859	(21, 2) 
1859while	(21, 1) 
1860	(21, 15) 
1860s	(21, 1) 
1860–1890	(20, 1) 
1860–61	(21, 1) 
1860–62	(21, 1) 
1861	(21, 36) (22, 1) 
1861according	(21, 1) 
1861among	(21, 1) 
1861on	(21, 1) 
1861–1862	(21, 1) 
1861–1865	(22, 1) 
1862	(21, 27) 
1862after	(21, 1) 
1862at	(21, 1) 
1862when	(21, 1) 
1863	(21, 20) 
1863marylands	(21, 1) 
1864	(21, 11) 
1864pacific	(21, 1) 
1864–65	(21, 1) 
1865	(21, 23) (22, 1) 
