Word	[ (Document1, Count1), ... ]
criticized	(20, 1) (17, 2) (21, 2) 
criticizing	(17, 1) 
critics	(20, 1) (21, 1) (8, 1) 
critique	(17, 1) 
crittenden	(21, 3) 
croatian	(11, 2) 
cromer	(17, 1) 
cromwell	(25, 4) 
cromwells	(25, 2) 
crook	(21, 1) 
crop	(21, 2) (26, 1) 
crops	(26, 2) (21, 1) (24, 1) 
cross	(28, 1) (2, 2) (29, 2) (21, 1) (20, 1) (10, 1) (22, 3) 
cross-section	(27, 1) 
crossbow	(24, 1) 
crossed	(24, 1) (10, 1) 
crosses	(2, 1) 
crossing	(10, 2) (24, 1) (19, 1) 
crossingoperation	(10, 1) 
crossings	(10, 1) (24, 1) 
crosswise	(24, 1) 
crow	(21, 2) 
crowd	(2, 3) (17, 1) 
crowded	(24, 1) 
crowl	(22, 1) 
crown	(22, 1) (23, 6) (24, 1) 
crowned	(23, 1) (20, 1) 
crownother	(22, 1) 
crowns	(22, 1) 
crowsnest	(9, 2) 
crucial	(13, 1) (21, 1) (27, 1) (12, 1) (10, 2) (24, 1) 
cruciform	(24, 2) 
crude	(22, 1) 
cruel	(23, 2) 
cruelest	(2, 1) 
cruise	(27, 1) (4, 1) (8, 2) (28, 2) (14, 2) 
cruiser	(21, 1) (13, 6) (28, 3) (12, 6) (19, 3) 
cruiseramphibious	(12, 1) (13, 1) 
cruiserby	(13, 1) (12, 1) 
cruiserhelicopter	(12, 1) (13, 1) 
cruisers	(13, 2) (21, 3) (27, 1) (12, 2) (19, 2) (28, 1) 
crusade	(19, 1) 
crusader	(8, 1) (10, 1) 
crush	(19, 1) (23, 2) 
crushed	(23, 1) (26, 2) 
crushing	(23, 1) (19, 1) 
cry	(21, 1) 
crystallized	(21, 1) 
cs1	(19, 2) 
css	(21, 9) 
ct	(19, 1) 
cuba	(21, 2) (22, 1) 
cuban	(8, 1) 
cube	(22, 1) 
cubitts	(22, 1) 
cues	(26, 2) 
cui	(23, 4) 
cuirass	(24, 1) 
cuisine	(26, 1) 
culebra	(22, 1) 
culminate	(10, 1) 
culminated	(8, 1) 
culminating	(2, 1) (21, 1) 
culmination	(21, 1) (5, 1) 
culonas	(26, 1) 
cult	(2, 1) 
culte	(20, 1) 
cultivate	(26, 1) 
cultivation	(26, 1) 
cultur	(20, 1) 
cultural	(1, 1) (21, 3) (23, 4) (17, 1) (24, 1) 
culture	(24, 5) (21, 1) (2, 2) (1, 1) (20, 1) (17, 6) (23, 2) 
cultureancient	(24, 1) 
cultureanthropomorphised	(26, 1) 
cultureeinstein	(17, 1) 
culturein	(2, 1) 
cultureplanning	(20, 1) 
cultures	(26, 2) 
cumberland	(22, 1) (21, 5) 
cumberlandthe	(21, 1) 
cumbersome	(30, 1) (27, 1) 
cunxus	(23, 1) 
curative	(26, 1) 
curie	(17, 1) 
curious	(24, 1) 
curlieworks	(17, 1) 
currency	(5, 1) (2, 1) 
current	(2, 1) (13, 2) (27, 2) (8, 3) (16, 1) (5, 1) (24, 1) (17, 3) (20, 3) (12, 2) (15, 2) 
currentalbert	(17, 1) 
currently	(26, 1) (27, 4) (9, 1) (13, 5) (14, 1) (12, 5) 
currents	(26, 1) 
curriculum	(17, 1) 
curry	(26, 1) 
curtail	(2, 1) (21, 1) 
curtain	(27, 1) 
curtains	(23, 1) 
curtiss	(12, 2) (13, 2) 
curvature	(17, 6) 
curve	(17, 1) (24, 1) 
curved	(24, 2) (17, 3) 
curves	(27, 1) 
curvesthe	(6, 1) 
curving	(24, 1) 
custer	(5, 1) 
customhouses	(21, 1) 
customs	(21, 1) (2, 2) 
cut	(21, 3) (17, 1) (22, 1) (26, 3) (24, 2) (27, 1) (15, 1) (10, 2) 
cuticle	(26, 1) 
cuticular	(26, 1) 
cutler	(21, 1) 
cuts	(2, 1) 
cutter	(14, 1) 
cutthe	(26, 1) 
cutting	(21, 1) (5, 1) (24, 3) 
cv-10	(13, 1) (12, 1) 
cv-11	(12, 1) (13, 1) 
cv-12	(13, 1) (12, 1) 
cv-16	(12, 1) (13, 1) 
cv-41	(13, 1) (12, 1) 
cvl-28	(12, 1) (13, 1) 
cvn	(13, 1) (12, 1) 
cvn-81	(12, 1) (13, 1) 
cvn-82	(13, 1) (12, 1) 
cvx	(12, 1) (13, 1) 
cwt	(27, 4) 
cyanide	(2, 1) 
cyanideberlin	(2, 1) 
cyber	(7, 1) 
cyclades	(24, 1) 
cycle	(12, 1) (13, 1) 
cyclethe	(26, 1) 
cyclic	(27, 1) 
cycling	(26, 2) 
cyclist	(19, 1) 
cylindricus	(26, 1) 
cypriot	(22, 1) (15, 1) 
cyprus	(15, 2) 
cyprusthe	(22, 1) 
cyril	(19, 1) 
cyrillic	(27, 1) 
cyrus	(24, 1) 
czech	(2, 2) (19, 1) (30, 1) 
czechoslovak	(8, 1) (19, 10) 
czechoslovakia	(30, 1) (2, 5) 
czechoslovakiain	(2, 1) 
czechoslovakian	(2, 4) 
czechoslovakiaon	(2, 1) 
czechoslovaks	(19, 1) 
czechs	(19, 2) 
cæsar	(20, 1) 
cédras	(10, 2) 
căpitan	(5, 1) 
d	(5, 1) (2, 1) (25, 1) (7, 1) (22, 1) (21, 2) (17, 1) (10, 1) (8, 1) (20, 2) (19, 1) 
d-day	(22, 4) (8, 1) (10, 5) 
d1	(22, 1) 
d921	(30, 2) 
da	(5, 1) 
daceton	(26, 1) 
dacia	(24, 1) 
dacian	(24, 1) 
daeng	(26, 1) 
dagger	(24, 2) (27, 1) 
daggers	(24, 2) 
dagö	(22, 1) 
dahlem	(17, 1) 
daily	(17, 2) (11, 2) 
daisy	(14, 1) 
daizong	(23, 3) 
dakota	(10, 1) 
dakotas	(10, 1) 
dal	(20, 1) 
daladier	(2, 1) 
damage	(30, 1) (27, 1) (21, 3) (26, 3) (22, 1) (24, 2) (28, 5) (8, 1) 
damaged	(8, 2) (13, 1) (19, 1) (27, 1) (28, 4) (22, 1) (12, 1) 
damagedsouthern	(19, 1) 
damagein	(28, 1) 
damagepossible	(29, 1) 
damaging	(2, 1) (30, 1) (28, 1) (26, 1) (27, 2) (24, 1) 
dambusters	(27, 1) 
damien	(19, 1) 
daming	(23, 1) 
dams	(2, 1) 
dan	(2, 1) (20, 1) (10, 1) 
danger	(10, 1) (23, 1) (14, 1) (27, 2) (17, 4) 
dangerous	(10, 1) (12, 1) (11, 1) (13, 1) (15, 2) (26, 1) 
daniel	(21, 1) 
danish	(26, 1) 
danube	(24, 2) 
danzig	(2, 1) 
danzig-west	(2, 1) 
daos	(24, 1) 
dap	(2, 5) 
dardanelles	(22, 2) 
dardanians	(24, 1) 
dare	(21, 1) (5, 1) 
dared	(2, 1) 
daring	(10, 2) (5, 1) 
darius	(24, 1) 
dark	(21, 1) (26, 1) 
darkness	(22, 1) (21, 1) 
dart	(26, 1) (24, 1) (28, 1) (27, 2) 
dartsea	(28, 1) 
darwin	(2, 1) 
das	(17, 1) (20, 1) 
dashedon	(19, 1) 
dassault	(8, 2) (12, 1) (13, 1) 
data	(13, 1) (21, 5) (9, 1) (12, 1) (17, 1) (18, 1) (14, 1) (27, 5) 
data-hijacking	(4, 1) 
databases	(26, 1) 
date	(26, 1) (28, 1) (21, 6) (24, 1) (10, 1) 
dated	(22, 1) (21, 1) (17, 2) 
dating	(23, 1) (26, 1) (24, 1) 
daughter	(24, 1) (23, 2) (17, 2) (25, 1) 
daughters	(26, 1) 
davaabrigada	(5, 1) 
david	(17, 2) (19, 2) (25, 1) (21, 5) (9, 1) (10, 2) 
davis	(21, 7) 
davison	(9, 1) 
daviss	(21, 1) 
davisthe	(21, 1) 
davits	(22, 1) 
dawn	(22, 2) (26, 1) (10, 3) 
dawned	(25, 1) 
day	(25, 1) (22, 6) (28, 1) (8, 1) (11, 2) (2, 18) (24, 1) (13, 1) (5, 3) (7, 1) (23, 2) (10, 5) (26, 1) (19, 9) (15, 4) (12, 1) (16, 1) (21, 8) (20, 2) 
day-foraging	(26, 1) 
dayangolan	(10, 1) 
daychina	(13, 1) (12, 1) 
daydreams	(17, 1) 
daylight	(8, 1) (27, 1) (10, 5) 
days	(10, 2) (27, 1) (17, 4) (22, 5) (25, 1) (28, 1) (8, 4) (5, 3) (2, 3) (24, 2) (21, 6) (23, 1) (15, 1) (19, 5) (26, 1) 
daytime	(26, 1) 
dc	(22, 1) (19, 2) (21, 1) (9, 1) 
dc-6s	(15, 1) 
dc-7s	(15, 1) 
dc-8	(9, 1) 
dc3s	(15, 1) 
dca	(27, 1) (12, 1) (13, 1) 
dcns	(13, 3) (12, 3) 
de	(12, 6) (2, 2) (10, 1) (17, 7) (1, 1) (5, 6) (7, 1) (8, 1) (25, 9) (13, 6) (22, 1) (20, 8) (30, 1) (21, 1) (19, 2) 
de-colonisation	(2, 1) 
de-escalate	(8, 1) 
deactivation	(12, 1) (13, 1) 
dead	(26, 3) (19, 1) (10, 1) (17, 1) (21, 7) (24, 1) 
deadhowever	(19, 1) 
deadliest	(2, 1) (21, 1) 
deadline	(2, 1) 
deadlock	(26, 1) 
deadly	(27, 3) (10, 1) (28, 1) 
deal	(10, 2) (19, 1) (13, 1) (27, 2) (29, 1) (26, 1) (12, 1) (9, 1) (25, 1) (23, 2) (30, 1) 
dealing	(29, 1) (27, 1) (19, 1) (21, 1) (3, 1) 
dealings	(2, 1) 
deals	(19, 1) (26, 1) 
dealt	(27, 1) (24, 1) (8, 1) (21, 1) 
death	(21, 5) (24, 2) (10, 1) (26, 2) (19, 2) (2, 13) (17, 7) (23, 10) (25, 2) 
deathbed	(21, 1) 
deathby	(2, 1) 
deaths	(2, 2) (24, 1) (21, 11) (23, 1) (8, 1) (19, 1) 
deaths194026	(21, 1) 
deaths275154	(21, 1) 
deathsin	(21, 1) 
deaths—two-thirds	(21, 1) 
debacle	(21, 1) 
debate	(21, 1) (2, 1) (13, 1) (24, 1) (12, 1) (17, 1) (20, 1) 
debated	(21, 3) (26, 1) (24, 1) 
debates	(24, 1) (17, 3) 
debating	(24, 1) 
debt	(19, 1) (23, 1) 
debut	(24, 1) 
debuted	(30, 1) 
debye	(17, 1) 
decade	(27, 1) (2, 1) (13, 1) (22, 1) (12, 1) 
decades	(27, 1) (17, 1) (20, 2) (7, 1) (22, 1) (2, 1) (23, 2) (8, 3) (21, 3) 
decadessouth	(26, 1) 
decay	(17, 1) 
deccan	(24, 1) 
deceived	(28, 1) 
decelerate	(12, 2) (13, 2) 
decemarticulatus	(26, 1) 
december	(13, 13) (25, 1) (17, 7) (10, 8) (20, 3) (27, 3) (5, 2) (12, 13) (8, 2) (22, 2) (9, 1) (2, 10) (19, 8) (21, 7) (23, 2) 
decide	(26, 1) (20, 1) (10, 1) (21, 1) 
decided	(21, 3) (27, 2) (25, 2) (17, 2) (23, 1) (10, 1) (22, 4) (8, 1) (19, 7) (2, 3) 
deciding	(21, 1) (10, 1) 
decision	(10, 1) (2, 3) (17, 4) (28, 1) (20, 1) (21, 7) (19, 1) (9, 1) (8, 1) (22, 1) 
decision-making	(2, 2) (24, 1) (21, 1) 
decisions	(21, 1) (2, 1) 
decisionspersonal	(2, 1) 
decisionssometime	(2, 1) 
decisive	(2, 1) (21, 4) (22, 2) (25, 1) (24, 4) (8, 1) (6, 1) (19, 1) 
decisively	(21, 4) 
deck	(28, 1) (13, 61) (22, 2) (12, 61) (5, 2) (24, 2) 
deck-landing	(13, 1) (12, 1) 
deckas	(12, 1) (13, 1) 
deckif	(13, 1) (12, 1) 
decks	(12, 8) (13, 8) 
declaration	(21, 1) (17, 1) (2, 1) 
declarations	(2, 1) 
declaration—for	(2, 1) 
declare	(2, 1) 
declared	(2, 10) (19, 1) (21, 4) (22, 1) (25, 2) (20, 2) (23, 2) 
declaring	(2, 2) 
decline	(2, 1) (23, 4) (24, 2) (19, 1) (20, 1) (25, 2) 
declined	(17, 1) (23, 1) (21, 1) 
declining	(21, 1) (2, 1) 
decommission	(25, 1) 
decommissioned	(13, 1) (12, 1) 
decomposition	(26, 1) 
decorated	(2, 2) 
decoration	(2, 1) 
decoratively	(20, 1) 
decoy	(28, 1) 
decoys	(28, 2) (29, 1) 
decrease	(26, 1) (6, 2) 
decreased	(21, 1) 
decreasing	(8, 1) 
decree	(20, 2) (2, 6) 
decreed	(20, 1) (5, 1) 
decrees	(2, 2) 
dedicated	(2, 2) (8, 1) (17, 1) (27, 1) (21, 1) (19, 1) (30, 5) (22, 1) 
dedicates	(1, 1) 
deduced	(17, 1) 
deemed	(17, 1) (2, 2) (10, 1) (4, 1) (22, 1) (27, 2) 
deems	(21, 1) 
deep	(21, 2) (2, 1) (17, 2) (24, 2) (10, 1) (22, 1) (5, 1) 
deepened	(2, 1) (12, 1) (13, 1) 
deepening	(2, 1) 
deepest	(17, 1) 
deeply	(17, 4) (2, 1) (23, 1) 
defa	(30, 3) 
defeat	(30, 1) (24, 1) (21, 11) (8, 2) (29, 3) (23, 3) (2, 9) (22, 1) (19, 2) (20, 3) 
defeatafter	(18, 1) 
defeated	(21, 13) (25, 2) (24, 9) (20, 1) (2, 3) (23, 4) (19, 2) 
defeating	(25, 1) (30, 1) (4, 1) (21, 2) (8, 1) (28, 1) (23, 1) (24, 3) (22, 1) 
defeaton	(2, 1) 
defeatprisonersat	(21, 1) 
defeats	(25, 1) 
defect	(19, 1) (23, 3) 
defected	(23, 2) 
defecting	(23, 1) 
defection	(23, 1) 
defence	(25, 1) (2, 2) (4, 7) (13, 1) (19, 3) (7, 4) (10, 1) (20, 1) (27, 104) (12, 1) (22, 2) (9, 1) (26, 3) 
defence/aa	(27, 1) 
defencearea	(27, 1) 
defencecol	(8, 1) 
defencelayered	(27, 1) 
defences	(27, 10) (8, 1) (5, 1) (2, 1) (25, 1) (26, 1) (10, 1) (19, 1) (22, 4) 
defencesan	(27, 1) 
defencesthe	(27, 2) 
defence—at	(27, 1) 
defend	(27, 2) (22, 1) (2, 1) (23, 2) (21, 2) (5, 1) (19, 2) (26, 4) (13, 1) (28, 1) (10, 1) (12, 1) 
defended	(2, 1) (22, 4) (27, 1) (10, 2) (29, 1) (5, 1) (24, 1) 
defender	(6, 6) 
defenders	(24, 2) (22, 5) (23, 1) (10, 3) 
defending	(10, 2) (22, 2) (6, 2) (27, 2) (19, 2) (26, 2) 
defendinginsurgent	(27, 1) 
defense	(27, 5) (22, 3) (15, 3) (12, 9) (21, 1) (10, 2) (4, 1) (30, 1) (8, 8) (18, 1) (5, 2) (23, 1) (7, 3) (29, 4) (28, 3) (9, 1) (13, 9) 
defenses	(8, 3) (22, 4) (21, 1) (28, 3) 
defensestechnological	(8, 1) 
defensesthe	(24, 1) 
defensible	(20, 1) 
defensive	(8, 1) (13, 5) (2, 1) (15, 1) (27, 2) (28, 2) (30, 1) (12, 5) (4, 1) (24, 1) (21, 3) (6, 1) (19, 4) (18, 1) (9, 1) (7, 1) (23, 1) 
defensively	(9, 1) 
defies	(8, 1) 
define	(26, 1) 
defined	(26, 1) (12, 1) (13, 1) (27, 3) (22, 2) (8, 3) (4, 1) (21, 1) (19, 1) 
defines	(27, 1) 
defining	(20, 1) (6, 1) 
definite	(19, 1) (17, 1) 
definition	(17, 1) (27, 2) (13, 1) (12, 1) (21, 1) (22, 1) (4, 1) (18, 1) 
definitions	(27, 1) (8, 1) 
definitionsin	(16, 1) 
definitive	(26, 1) (2, 1) (29, 1) 
deflect	(27, 1) 
deflected	(2, 1) 
deflecting	(17, 1) 
deflection	(17, 1) (27, 4) 
deflector	(6, 1) 
deflectors	(13, 1) (12, 1) 
deforming	(29, 1) 
defunct	(10, 1) 
defuse	(21, 1) 
defused	(3, 1) 
degree	(2, 1) (9, 2) (27, 1) (17, 4) (5, 1) (12, 1) (13, 1) (8, 6) 
degrees	(8, 1) (2, 1) (30, 1) (13, 1) (27, 1) (12, 1) (17, 1) 
degreethe	(27, 1) 
deities	(26, 1) 
delaware	(21, 3) 
delay	(21, 2) (19, 1) (22, 1) 
delay-action	(3, 1) 
delayed	(21, 1) (19, 1) (17, 1) 
delayed-action	(3, 1) 
delaying	(19, 1) (21, 1) 
delegate	(17, 1) (20, 1) 
delegates	(21, 2) (2, 1) 
delegation	(2, 1) (22, 2) (25, 2) 
deleted	(21, 1) 
delhi	(19, 1) (10, 1) 
deliberately	(23, 1) 
delicate	(14, 1) 
deliver	(14, 1) (2, 1) (27, 1) (9, 1) (24, 1) (22, 2) (17, 1) 
delivered	(17, 3) (27, 1) (14, 2) (15, 2) (24, 1) (21, 1) (4, 1) (9, 2) (10, 4) (12, 3) (13, 3) (7, 1) (3, 1) (5, 1) 
delivering	(11, 2) (8, 1) (15, 1) (22, 3) (10, 1) 
delivery	(11, 1) (14, 4) (22, 1) (21, 1) (15, 2) 
delivery-vehicle	(3, 1) 
delong	(26, 1) 
delta	(27, 2) (24, 3) 
delusions	(2, 1) 
demagogue	(2, 1) 
demand	(2, 2) (20, 2) (21, 3) 
demanded	(21, 3) (2, 2) (25, 1) (23, 1) (22, 1) (13, 2) (12, 2) 
demanding	(27, 1) (22, 1) 
demands	(2, 4) (15, 1) 
demi-brigade	(22, 1) 
demilitarise	(2, 1) 
demilitarised	(2, 1) 
demise	(2, 1) (23, 1) 
demobilisation	(27, 1) (19, 1) 
demobilised	(19, 1) 
democidal	(2, 1) 
democide	(2, 1) 
democracies	(18, 2) 
democracy	(21, 1) (17, 1) (10, 1) (5, 1) (22, 1) 
democratic	(2, 3) (17, 2) (21, 3) (19, 3) 
democratically	(10, 1) 
democrats	(2, 3) (21, 12) (20, 5) 
demolished	(10, 1) 
demolition	(22, 1) 
demonstrable	(21, 1) 
demonstrate	(17, 1) (20, 1) (2, 2) 
demonstrated	(17, 2) (10, 1) (22, 2) (14, 1) (8, 1) (27, 3) (13, 3) (30, 1) (12, 3) 
demonstrating	(26, 1) 
demonstration	(12, 1) (17, 1) (22, 2) (13, 1) 
demoralised	(19, 2) 
demyansk	(11, 2) (15, 1) 
den	(17, 2) 
dendrobates	(26, 1) 
denfert-rochereauwho	(20, 1) 
denial	(2, 1) (28, 1) (8, 2) 
denialhistorian	(2, 1) 
denied	(2, 1) (8, 1) (17, 1) (21, 1) 
denikins	(19, 1) 
denmark	(2, 1) (13, 1) (12, 1) (30, 1) (10, 2) 
dennis	(13, 1) (12, 1) 
denominations	(21, 2) 
denominationshistorians	(21, 1) 
denotes	(18, 1) 
denounce	(2, 1) (20, 1) 
denounced	(2, 1) (17, 1) (21, 1) 
dense	(14, 1) (5, 1) 
density	(17, 8) 
dental	(2, 1) 
deny	(17, 1) (8, 1) (21, 1) (22, 1) 
denying	(10, 1) (19, 1) 
departed	(19, 1) (10, 1) (15, 1) 
departing	(23, 1) 
department	(19, 1) (17, 1) (20, 6) (5, 1) (15, 1) (10, 1) (21, 6) (26, 1) (8, 2) (14, 5) 
departmental	(26, 1) 
departmentnotesreferencesfurther	(20, 1) 
departments	(7, 2) (21, 1) 
departure	(21, 1) (20, 1) 
depend	(26, 1) (17, 1) (24, 1) (27, 1) (30, 1) 
depended	(22, 3) 
dependence	(22, 1) (21, 1) 
dependent	(26, 1) (2, 1) (5, 1) 
depending	(12, 2) (16, 1) (22, 1) (24, 2) (13, 2) 
depends	(13, 1) (12, 1) (17, 1) 
depicted	(23, 1) 
depicting	(2, 1) 
depiction	(24, 1) 
depictions	(17, 1) (21, 1) 
depicts	(24, 1) 
depleted	(7, 1) 
deploy	(12, 4) (29, 1) (13, 4) (27, 4) (22, 1) (4, 1) 
deployed	(29, 1) (12, 1) (19, 4) (30, 2) (22, 2) (13, 1) (28, 2) (24, 1) (10, 8) (27, 9) (2, 1) (8, 1) (9, 4) (14, 3) 
deploying	(12, 1) (9, 1) (28, 1) (30, 1) (15, 1) (13, 1) (8, 1) (27, 1) 
deployment	(14, 1) (29, 1) (19, 1) (8, 2) (12, 3) (28, 1) (22, 1) (13, 3) 
deploymentduring	(5, 1) 
deployments	(5, 1) 
deploys	(13, 1) (14, 1) (12, 1) 
depopulation	(23, 1) 
deportation	(20, 1) (2, 1) 
deportationson	(20, 1) 
deported	(20, 2) (2, 1) 
deportees	(2, 2) 
deporting	(2, 1) 
depose	(23, 1) 
deposed	(23, 1) 
depositing	(26, 1) 
deposits	(26, 1) 
depot	(19, 2) 
depots	(19, 1) (22, 1) 
depredations	(21, 1) 
depressed	(2, 1) (30, 1) 
depression	(21, 1) (22, 1) (27, 1) (2, 3) 
deprive	(23, 1) 
depriving	(2, 1) 
depth	(22, 1) (27, 1) (20, 1) 
deputies	(20, 5) (2, 1) 
deputy	(2, 1) (19, 1) (8, 1) 
der	(20, 1) (17, 5) (2, 5) (15, 1) 
derivative	(9, 1) (17, 2) 
derive	(17, 1) (27, 1) 
derived	(29, 2) (4, 1) (17, 3) (9, 1) (26, 3) (24, 1) 
dermatologists	(26, 1) 
derrick	(22, 2) 
des	(20, 2) (2, 3) (10, 1) 
descendant	(24, 1) 
descendants	(20, 1) 
descended	(23, 1) (10, 1) 
descending	(10, 1) 
descends	(14, 1) 
descent	(14, 1) (10, 1) (23, 3) (24, 1) 
describe	(18, 2) (17, 1) (2, 2) 
described	(2, 4) (24, 1) (22, 1) (21, 1) (1, 1) (29, 1) (27, 1) (13, 1) (17, 9) (19, 1) (23, 2) (26, 3) (12, 1) 
describes	(24, 6) (2, 3) (21, 1) (5, 1) (26, 1) (17, 3) 
describing	(17, 4) 
description	(17, 6) 
descriptionaerial	(3, 1) 
descriptions	(24, 1) 
descriptionthe	(27, 1) 
descriptive	(17, 1) 
desert	(24, 1) (8, 2) (26, 2) (10, 1) 
deserted	(21, 4) (19, 3) 
deserters—plenty	(21, 1) 
deserting	(19, 1) 
desertion	(20, 1) (21, 2) 
deserts	(24, 1) 
desiccation	(26, 1) 
design	(27, 4) (30, 2) (12, 8) (22, 13) (29, 2) (6, 1) (24, 3) (13, 8) (8, 2) (9, 3) (28, 1) 
designate	(12, 1) (13, 1) 
designated	(13, 2) (27, 1) (7, 1) (22, 3) (12, 2) (5, 2) (9, 2) (8, 1) 
designation	(8, 1) (13, 1) (9, 1) (22, 1) (5, 2) (12, 1) 
designations	(5, 1) 
designed	(5, 3) (8, 6) (21, 2) (28, 3) (30, 3) (27, 16) (2, 1) (29, 5) (10, 1) (12, 12) (13, 12) (14, 2) (4, 2) (6, 1) (22, 7) (24, 3) (15, 1) (9, 2) 
designer	(22, 1) 
designers	(22, 2) (27, 1) 
designing	(27, 1) (29, 1) 
designs	(29, 1) (27, 5) (3, 1) (8, 3) (22, 3) (30, 3) (12, 3) (13, 3) (24, 1) 
designsfalklands	(8, 1) 
desire	(21, 1) (19, 6) (2, 1) (20, 1) (23, 1) 
desired	(19, 2) (8, 1) (20, 1) 
desk	(17, 1) 
despatch	(14, 1) 
desperate	(27, 1) (19, 2) (21, 1) 
desperately	(23, 1) 
despising	(2, 1) 
despite	(2, 3) (21, 5) (20, 1) (24, 1) (1, 1) (5, 1) (19, 5) (28, 1) (22, 4) (8, 7) (18, 1) (10, 3) (17, 2) (25, 1) 
despotic	(19, 1) 
destination	(21, 1) (15, 1) 
destined	(22, 1) 
destiny	(21, 1) 
destroy	(21, 5) (19, 1) (2, 2) (29, 1) (28, 3) (5, 1) (27, 6) (3, 1) (8, 3) (23, 1) (30, 4) (6, 1) (10, 5) 
destroyed	(10, 3) (27, 2) (19, 4) (7, 1) (24, 2) (21, 3) (5, 1) (28, 5) (8, 7) (22, 2) (13, 1) (15, 1) (12, 1) (23, 1) 
destroyedpost-warpost-war	(27, 1) 
destroyer	(27, 4) (22, 1) (28, 12) (30, 1) 
destroyerin	(28, 1) 
destroyers	(28, 2) (19, 3) (30, 4) (27, 2) (12, 3) (13, 3) 
destroyersthe	(10, 1) (30, 1) 
destroying	(30, 1) (23, 1) (25, 1) (26, 2) (21, 2) (19, 2) (6, 1) (8, 1) (27, 1) (4, 1) (22, 1) 
destruction	(22, 1) (23, 3) (28, 1) (2, 5) (1, 1) (24, 5) (19, 2) (10, 1) (8, 4) 
destructionthe	(1, 1) 
detached	(2, 1) 
detaching	(27, 1) 
detachment	(2, 1) (10, 3) (19, 3) 
detachments	(19, 1) (10, 1) 
detail	(24, 2) (9, 1) 
detailed	(21, 1) (17, 2) 
detailing	(22, 1) 
details	(22, 1) (13, 1) (12, 1) 
detained	(21, 1) 
detect	(26, 4) (9, 5) (27, 5) 
detected	(17, 1) (8, 2) (28, 1) (9, 2) (24, 1) 
detectedthese	(28, 1) 
detecting	(9, 2) (26, 1) 
detection	(26, 1) (17, 1) (27, 6) (9, 2) (13, 1) (28, 3) (15, 1) (12, 1) 
detectors	(26, 1) 
detention	(2, 1) 
deter	(27, 1) (4, 1) (18, 2) 
deteriorated	(2, 2) 
deteriorating	(19, 1) 
deterioration	(21, 1) 
determination	(21, 1) (17, 1) (2, 2) (26, 1) 
determine	(26, 1) (21, 1) (17, 1) (27, 1) 
determined	(27, 2) (26, 1) (22, 1) (20, 1) (19, 1) (23, 1) (17, 3) (2, 2) (24, 1) (21, 3) (9, 1) 
determinedant	(26, 1) 
determining	(9, 1) (2, 1) 
determinism	(17, 1) (21, 1) 
deterred	(21, 1) (8, 1) (18, 1) 
detmar	(20, 1) 
detonate	(27, 1) (3, 5) (28, 1) 
detonated	(22, 1) (3, 1) 
detonating	(3, 1) 
detonation	(29, 1) (27, 2) 
detonationearly	(3, 1) 
detonations	(27, 1) 
detrimental	(23, 1) 
detroit	(10, 1) 
detsän	(23, 1) 
deutsche	(11, 1) (17, 1) (2, 1) 
deutsches	(2, 1) 
deutschland	(2, 1) 
deutschlandlied	(2, 1) 
devastated	(2, 1) (23, 1) (21, 1) (24, 1) 
devastating	(23, 1) (19, 1) 
develop	(5, 1) (2, 1) (3, 1) (26, 3) (8, 1) (9, 1) (27, 1) (17, 2) (22, 2) 
developed	(22, 7) (3, 1) (12, 5) (7, 1) (24, 7) (30, 4) (2, 1) (20, 4) (5, 1) (28, 4) (14, 2) (17, 5) (8, 5) (21, 1) (29, 3) (10, 2) (26, 2) (27, 22) (9, 6) (13, 5) 
developing	(28, 2) (22, 1) (5, 2) (9, 2) (17, 3) (4, 1) (27, 2) (10, 1) 
development	(10, 1) (22, 12) (13, 4) (23, 1) (12, 4) (28, 2) (24, 3) (30, 6) (2, 2) (27, 13) (9, 5) (29, 1) (8, 4) (5, 1) (17, 10) (6, 1) (26, 3) 
development-	(9, 1) 
developmentafter	(9, 1) 
developmental	(26, 3) (2, 1) 
developmenthowever	(27, 1) 
developments	(27, 3) (13, 1) (7, 1) (24, 1) (20, 1) (12, 1) (29, 2) 
developmentsguns	(27, 1) 
developmentsone	(22, 1) 
devi	(15, 1) 
deviate	(2, 1) 
deviation	(21, 2) 
device	(21, 1) (27, 1) (24, 1) (8, 1) (17, 1) 
devices	(27, 5) (3, 1) (8, 1) (22, 1) (4, 1) 
devicesfloating	(22, 1) 
devicesnon-scientific	(17, 1) 
devils	(10, 1) (21, 1) (26, 1) (2, 1) 
devise	(17, 1) 
devised	(22, 2) (10, 1) (15, 1) (21, 2) 
devolved	(23, 1) 
devon	(22, 1) 
devonport	(13, 1) (12, 1) 
devote	(2, 1) (24, 1) 
devoted	(22, 1) (17, 2) (2, 1) 
dew	(27, 1) 
dewoitine	(8, 1) 
dh4	(19, 1) 
dhaka	(10, 1) 
dhamma-vijaya	(24, 1) 
dhammaqins	(24, 1) 
di	(19, 1) 
diagnosed	(17, 2) 
diagnosis	(2, 1) 
dial	(10, 1) 
dialect	(2, 1) (20, 8) 
dialectmoselle	(20, 1) 
dialectrhine	(20, 1) 
dialectromance	(20, 1) 
dialects	(20, 7) 
dialectsalsatian	(20, 1) 
dialectscentral	(20, 1) 
dialectsluxembourgish	(20, 1) 
dialecttransitional	(20, 1) 
dialectupper	(20, 1) 
dials	(27, 2) 
